Latin,"Translation 1","Translation 2","Translation 3","Translation 4","Translation 5","Translation 6","Translation 7","Translation 8","Translation 9","Translation 10","Translation 11"
"quī bene vīvit, bene docet, et quī bene docet, Deī nuntius est.","He who lives well, teaches well, and he who teaches well, is a messenger of God.","He who is living well, teaches well, and he who teaches well, is a messenger of God.","He who is living well, teaches well, and he who is teaching well, is a messenger of God.","He who is living well, is teaching well, and he who is teaching well, is a messenger of God.",,,,,,,
"spēs famae solet ad virtūtem impellere multōs.","Hope of fame is accustomed to impel many to virtue.","The hope of fame is accustomed to impel many to virtue.","A hope of fame is accustomed to impel many to virtue.","Hope of fame is accustomed to push many towards virtue.","The hope of fame is accustomed to push many towards virtue.","A hope of fame is accustomed to push many towards virtue.","The hope of fame is accustomed to impel many men to virtue.","The hope of fame is accustomed to push many men towards virtue.","A hope of fame is accustomed to impel many men to virtue.","A hope of fame is accustomed to push many men towards virtue.",
"lex nōn debet habēre unam syllabam vacuam.","The law must not have one empty syllable.","The law ought not to have one empty syllable.","A law must not have one empty syllable.","A law ought not to have one empty syllable.",,,,,,,
"signum scientiae est posse docēre.","A sign of knowledge is to be able to teach.","The sign of knowledge is to be able to teach.","A signal of knowledge is to be able to teach.","The signal of knowledge is to be able to teach.","To be able to teach is a sign of knowledge.","To be able to teach is the sign of knowledge.","To be able to teach is a signal of knowledge.","To be able to teach is the signal of knowledge.","A sign of science is to be able to teach.","The sign of science is to be able to teach.",
"amīcī vitia sī tolerās, facis tua.","If you tolerate the faults of your friend, you make them yours.","If you tolerate the crimes of your friend, you make them yours.","If you tolerate the vices of your friend, you make them yours.","If you tolerate the faults of a friend, you make them yours.","If you tolerate the crimes of a friend, you make them yours.","If you tolerate the vices of a friend, you make them yours.","If you tolerate the faults of your friend, you make them your own.","If you tolerate the crimes of your friend, you make them your own.","If you tolerate the vices of your friend, you make them your own.","If you tolerate the faults of a friend, you make them your own.",
"medicus dē morbīs virginum saepe cōgitābat. ille igitur librum dē remediīs hōrum scrīpsit.","The doctor was often thinking about the diseases of the maidens. Therefore that doctor wrote a book about the remedies of these diseases.","The doctor was often thinking about the diseases of the virgins. Therefore that doctor wrote a book about the remedies of these diseases.","The doctor was often thinking about the diseases of the maidens. Therefore that doctor wrote a book about the cures of these diseases.","The doctor was often thinking about the diseases of the virgins. Therefore that doctor wrote a book about the cures of these diseases.","The doctor was often thinking about the sicknesses of the maidens. Therefore that doctor wrote a book about the remedies of these sicknesses.","The doctor was often thinking about the sicknessess of the virgins. Therefore that doctor wrote a book about the remedies of these sicknessess.","The doctor was often thinking about the sicknesses of the maidens. Therefore that doctor wrote a book about the cures of these sicknesses.","The doctor was often thinking about the sicknesses of the virgins. Therefore that doctor wrote a book about the cures of these sicknesses.","The doctor was often thinking about the diseases of the maidens. Therefore he wrote a book about the remedies of these diseases.","The doctor was often thinking about the sicknesses of the maidens. Therefore he wrote a book about the remedies of these sicknesses.",
"sententiās vērās habēbō, sī vītam meam ratiō reget. haec enim hominibus sapientiam semper trādit.","I will have true judgments, if reason will rule my life. For it always surrenders wisdom to people.","I will have true judgments, if reason will rule my life. For it always delivers wisdom to people.","I will have true judgments, if reason will rule my life. For she always surrenders wisdom to people.","I will have true judgments, if reason will rule my life. For she always delivers wisdom to people.","I will have true judgments, if reason will rule my life. For reason always surrenders wisdom to people.","I will have true judgments, if reason will rule my life. For reason always delivers wisdom to people.","I shall have true judgments, if reason shall rule my life. For it always surrenders wisdom to people.","I shall have true judgments, if reason shall rule my life. For it always delivers wisdom to people.","I will have true opinions, if reason will rule my life. For it always surrenders wisdom to people.","I will have true opinions, if reason will rule my life. For it always delivers wisdom to people.",
"illa carmina maximā cum voluptāte legimus. verba enim illīus scrīptōris plēna sunt sapientiae.","We read those poems with the greatest pleasure. For the words of that writer are full of wisdom.","We read those songs with the greatest pleasure. For the words of that writer are full of wisdom.","We have read those poems with the greatest pleasure. For the words of that writer are full of wisdom.","We have read those songs with the greatest pleasure. For the words of that writer are full of wisdom.","We are reading those poems with the greatest pleasure. For the words of that writer are full of wisdom.","We are reading those songs with the greatest pleasure. For the words of that writer are full of wisdom.","We read those poems with the greatest pleasure. For the words of that writer are filled with  wisdom.","We read those songs with the greatest pleasure. For the words of that writer are filled with wisdom.","We read those poems with the greatest pleasure. For that writer's words are full of wisdom.","We read those songs with the greatest pleasure. For that writer's words are full of wisdom.",
"“uter puer est vester fīlius?” “neuter noster est.”","""Which boy is your son?"" ""Neither is ours.""","""Which boy is your son?"" ""Neither boy is ours.""","""Which boy is your son?"" ""Neither is our son.""","""Which boy is your son?"" ""Neither boy is our son.""",,,,,,,
"quō post hōc bellum līberōs tuōs mittēs? nōs enim pessimus tyrannus reget nec līberī esse poterimus.","Where will you send your children after this war? For the worst tyrant will rule us and we will not be able to be free.","Where will you send your children after this war? For the worst tyrant will rule us and we will be unable to be free.","To where will you send your children after this war? For the worst tyrant will rule us and we will not be able to be free.","To where will you send your children after this war? For the worst tyrant will rule us and we will be unable to be free.","After this war, where will you send your children? For the worst tyrant will rule us and we will not be able to be free.","After this war, where will you send your children? For the worst tyrant will rule us and we will be unable to be free.","Where shall you send your children after this war? For the worst tyrant shall rule us and we shall not be able to be free.","Where shall you send your children after this war? For the worst tyrant shall rule us and we shall be unable to be free.","Where will you send your children after this war? For a very bad tyrant will rule us and we will not be able to be free.","To where will you send your children after this war? For a very bad tyrant will rule us and we will not be able to be free.",
"iste necāre rēgīnam cōnsilium habet, sed illae bonae eam monēbunt servābuntque.","That man has a plan to kill the queen, but those good women will warn and guard her.","That person has a plan to kill the queen, but those good women will warn and guard her.","That man has a plan to kill the queen, but those good women will advise and guard her.","That person has a plan to kill the queen, but those good women will advise and guard her.","That man has a plan to kill the queen, but those good women will advise and keep her safe.","That person has a plan to kill the queen, but those good women will advise and keep her safe.","That man has a plan to kill the queen, but those good women will warn and keep her safe.","That person has a plan to kill the queen, but those good women will warn and keep her safe.","That man has a plan to kill the queen, but those good women will advise and preserve her.","That person has a plan to kill the queen, but those good women will advise and preserve her.",
"sī illōs bonōs adiuvāre audēmus, haec loca lībera erunt ab armīs cōpiīsque istīus tyrannī.","If we dare to help those good men, these places will be free from the arms and troops of that tyrant.","If we dare to help those good people, these places will be free from the arms and troops of that tyrant.","If we dare to help those good men, these places shall be free from the arms and troops of that tyrant.","If we dare to help those good people, these places shall be free from the arms and troops of that tyrant.","If we dare to help those good men, these places will be free from that tyrant's arms and troops.","If we dare to help those good people, these places will be free from that tyrant's arms and troops.","If we dare to help those good men, these places will be free from the arms and forces of that tyrant.","If we dare to help those good people, these places will be free from the arms and forces of that tyrant.","If we dare to help those good men, these places will be free from the arms and supplies of that tyrant.","If we dare to help those good people, these places will be free from the arms and supplies of that tyrant.",
"amīcamne tuam vidistī sōlam in illō locō herī?","Did you see your friend alone in that place yesterday?","Have you seen your friend alone in that place yesterday?","Did you see your only friend in that place yesterday?","Have you seen your only friend in that place yesterday?","Did you see your girlfriend alone in that place yesterday?","Have you seen your girlfriend alone in that place yesterday?",,,,,
"aliī aquam bibere solēbant, aliī vīnum cum aquā. nōnnūllī etiam vīnum sine aquā bibēbant.","Some were accustomed to drink water, others were accustomed to drink wine with water. Some even were drinking wine without water.","Some were accustomed to drink water, others were accustomed to drink wine with water. Some even used to drink wine without water.","Some were accustomed to drink water, others drank wine with water. Some even were drinking wine without water.","Some were accustomed to drink water, others drank wine with water. Some even used to drink wine without water.",,,,,,,
"aliud est dīcere, aliud est facere. et dīcite ergō et facite!","It is one thing to speak, it is another thing to do. Therefore both speak and do!","It is one thing to say, it is another thing to do. Therefore both say and do!","It is one thing to do, it is another thing to speak. Therefore both do and speak!","It is one thing to do, it is another thing to say. Therefore both do and say!","To speak is one thing, to do is another thing. Therefore both speak and do!","To say is one thing, to do is another thing. Therefore both say and do!","It is one thing to speak, it is another to do. Therefore both speak and do!","It is one thing to say, it is another to do. Therefore both say and do!","To speak is one thing, to do is another. Therefore both speak and do!","To say is one thing, to do is another. Therefore both say and do!",
"Sempronia erat uxor alterīus frātris, Tullia alterīus.","Sempronia was the wife of the other brother, Tullia was the wife of the other brother.","Sempronia was the wife of the other brother, Tullia was the wife of the other.","Sempronia was the wife of the other brother, Tullia was the wife of the other (of two).","Sempronia was the wife of the one brother, Tullia was the wife of the other brother.","Sempronia was the wife of the one brother, Tullia was the wife of the other.",,,,,,
"alius magister discipulās laudābit, alius culpābit. nōnnūllī autem nihil facient.","The one teacher will praise the students, the other teacher will blame the students. However some teachers will do nothing.","One teacher will praise the students, the other teacher will blame the students. However some teachers will do nothing.","The one teacher will praise the students, the other will blame the students. However some will do nothing.","One teacher will praise the students, the other will blame the students. However some will do nothing.","The one teacher will praise the students, the other teacher will blame the students. However some will do nothing.","One teacher will praise the students, the other teacher will blame the students. However some will do nothing.","The one teacher will praise the students, the other will blame the students. However some teachers will do nothing.","One teacher will praise the students, the other will blame the students. However some teachers will do nothing.","The one teacher will praise the students, the other teacher will blame them. However some teachers will do nothing.","One teacher will praise the students, the other teacher will blame them. However some teachers will do nothing.",
"imperātor cōpiās ad Graecōs dūxit. hī igitur illum propter exitium cīvitātum culpant.","The emperor led the troops towards the Greeks. Therefore these people blame that emperor on account of the destruction of the states. ","The emperor led the troops towards the Greeks. Therefore they blame him on account of the destruction of the states. ","The emperor led his troops towards the Greeks. Therefore these people blame that emperor on account of the destruction of their states. ","The emperor led his troops towards the Greeks. Therefore they blame him on account of the destruction of their states. ","The general led the troops towards the Greeks. Therefore these people blame that general on account of the destruction of the states. ","The general led the troops towards the Greeks. Therefore they blame him on account of the destruction of the states. ","The general led his troops towards the Greeks. Therefore these people blame that general on account of the destruction of their states. ","The general led his troops towards the Greeks. Therefore they blame him on account of the destruction of their states. ","The commander led the troops towards the Greeks. Therefore these people blame that commander on account of the destruction of the states. ","The commander led the troops towards the Greeks. Therefore they blame him on account of the destruction of the states. ",
"pater haec pulchra dōna nōbīs dedit. alterum autem ex hīs est magnum, alterum parvum.","The father gave these beautiful gifts to us. However one is great out of these, the other (of two) is small.","Father gave these beautiful gifts to us. However one is great out of these, the other (of two) is small.","The father gave these beautiful gifts to us. However one is great out of these, the other is small.","Father gave these beautiful gifts to us. However one is great out of these, the other is small.","The father gave these beautiful gifts to us. However one gift is great out of these, the other gift is small.","Father gave these beautiful gifts to us. However one gift is great out of these, the other gift is small.","The father gave these beautiful gifts to us. However one out of these is great, the other is small.","Father gave these beautiful gifts to us. However one out of these is great, the other is small.","The father gave these beautiful gifts to us. However one out of these is large, the other is small.","Father gave these beautiful gifts to us. However one out of these is large, the other is small.",
"nisi ūnus ex fīliīs vestrīs vēritātem dīcere audēbit, nec cīvitās nec līberī vestrī erunt līberī.","Unless one out of your sons will dare to speak the truth, neither the state nor your children will be free.","If one out of your sons will not dare to speak the truth, neither the state nor your children will be free.","Unless one out of your sons will dare to say the truth, neither the state nor your children will be free.","If one out of your sons will not dare to say the truth, neither the state nor your children will be free.","If not one out of your sons will dare to speak the truth, neither the state nor your children will be free.","If not one out of your sons will dare to say the truth, neither the state nor your children will be free.","Unless one out of your sons shall dare to speak the truth, neither the state nor your children shall be free.","Unless one out of your sons shall dare to say the truth, neither the state nor your children shall be free.","If not one out of your sons shall dare to speak the truth, neither the state nor your children shall be free.","If not one out of your sons shall dare to say the truth, neither the state nor your children shall be free.",
"medicī nūllum remedium huius morbī facere poterant. multī igitur in illō locō perivērunt.","The doctors were able to make no remedy of this disease. Therefore many men perished in that place.","The doctors were able to make no remedy of this disease. Therefore many people perished in that place.","The doctors were able to make no remedy of this disease. Therefore many men died in that place.","The doctors were able to make no remedy of this disease. Therefore many people died in that place.","The doctors were able to make no remedy of this sickness. Therefore many men perished in that place.","The doctors were able to make no remedy of this sickness. Therefore many people perished in that place.","The doctors were able to make no remedy of this sickness. Therefore many men died in that place.","The doctors were able to make no remedy of this sickness. Therefore many people died in that place.","The doctors were able to make no cure of this disease. Therefore many men perished in that place.","The doctors were able to make no cure of this disease. Therefore many people perished in that place.",
"ratiō docet et explānat.","Reason teaches and explains.","The plan teaches and explains.","The method teaches and explains.","The system teaches and explains.","The calculation teaches and explains.","The account teaches and explains.","The method explains and teaches.","The plan explains and teaches.","Reason explains and teaches.","The system explains and teaches.",
"nec timidē prōmitte: trahunt prōmissa puellās.","And promise not timidly: promises get girls.","And promise not timidly: promises obtain girls.","And promise not timidly: promises attract girls.","And promise not timidly: promises draw girls.","Promise not timidly: promises get girls.","Promise not timidly: promises obtain girls.","Promise not timidly: promises attract girls.","Promise not timidly: promises draw girls.",,,
"nātūra agit semper per viās simplicēs.","Nature always acts through simple ways.","Nature always leads through simple ways.","Nature always drives through simple ways.","Nature always leads through simple roads.","Nature always drives through simple roads.","Through simple ways, nature always acts.","Through simple ways, nature always leads.","Through simple ways, nature always drives.","Through simple roads, nature always leads.","Through simple roads, nature always drives.",
"Scīpiō, quamquam est mortuus, vīvit tamen semperque vīvet; virtūtem enim eius amāvī.","Scipio, although he is dead, nevertheless lives and will always live; for I loved his virtue.","Scipio, although he is dead, nevertheless lives and will always live; for I loved the virtue of him.","Although he is dead, nevertheless Scipio lives and will always live; for I loved his virtue.","Although he is dead, nevertheless Scipio lives and will always live; for I loved the virtue of him.","Nevertheless Scipio lives and will always live, although he is dead; for I loved his virtue.","Scipio, although he is dead, still lives and will always live; for I loved his virtue.","Although he is dead, still Scipio lives and will always live; for I loved his virtue.","Still Scipio lives and will always live, although he is dead; for I loved his virtue.","Scipio, although he is dead, nevertheless lives and will always live; for I have loved his virtue.","Scipio, although he is dead, nevertheless lives and shall always live; for I loved his virtue.",
"Sōcratēs prīmus philosophiam dēvocāvit ē caelō et in hominēs intrōdūxit et incēpit dē vītā et mōribus cōgitāre.","Socrates first called philosophy down from heaven and introduced philosophy to people and began to think about life and morals.","Socrates first called philosophy down from heaven and introduced it to people and began to think about life and morals.","Socrates first called philosophy down from heaven and introduced philosophy to people and began to think about life and habits.","Socrates first called philosophy down from heaven and introduced it to people and began to think about life and habits.","Socrates first called philosophy down from heaven and introduced philosophy to people and began to think about life and customs.","Socrates first called philosophy down from heaven and introduced it to people and began to think about life and customs.","Socrates first called philosophy down from heaven and introduced philosophy to people, and he began to think about life and morals.","Socrates first called philosophy down from heaven and introduced it to people, and he began to think about life and morals.","Socrates first called philosophy down from heaven and introduced philosophy to men and began to think about life and morals.","Socrates first called philosophy down from heaven and introduced it to men and began to think about life and morals.",
"magna paupertās venit nōn ex inopiā magnā, sed ex magnā cōpiā.","Great poverty does not come from great scarcity, but from great abundance.","Great poverty does not come from great scarcity, but it comes from great abundance.","Great poverty did not come from great scarcity, but from great abundance.","Great poverty did not come from great scarcity, but it came from great abundance.","Great poverty has not come from great scarcity, but from great abundance.","Great poverty has not come from great scarcity, but it has come from great abundance.",,,,,
"foedus inter mē et tē est et inter patrem meum et patrem tuum.","The treaty is between me and you and between my father and your father.","The treaty is both between me and you and between my father and your father.","The treaty is between you and me and between your father and my father.","The treaty is both between you and me and between your father and my father.","A treaty exists between me and you and between my father and your father.","An alliance exists between me and you and between my father and your father.","There is a treaty between me and you and between my father and your father.","There is an alliance between me and you and between my father and your father.",,,
"nōn ūnīus terrae, sed tōtīus nātūrae interpretēs sumus.","We are not interpreters of one land, but we are interpreters of the whole of nature.","We are not interpreters of one land, but of the whole of nature.","Not of one land, but of the whole of nature we are interpreters.","We are not interpreters of one country, but we are interpreters of the whole of nature.","We are not interpreters of one country, but of the whole of nature.","We are not interpreters of one region, but we are interpreters of the whole of nature.","We are not interpreters of one region, but of the whole of nature.","We are not interpreters of one earth, but we are interpreters of the whole of nature.","We are not interpreters of one earth, but of the whole of nature.","We are not interpreters of a single land, but we are interpreters of the whole of nature.",
"aliud est dare, aliud prōmittere.","It is one thing to give, it is another to promise.","One thing is to give, another thing is to promise.","One thing is to give, another is to promise.","To give is one thing, to promise is another thing.","To give is one thing, to promise is another.","It is one thing to give, it is another thing to promise.",,,,,
"ubi vitia nōn sunt, ibi nec virtūtī locus est.","Where there are no vices, in that place there is no place for virtue.","Where vices are not, there the place is not for virtue.","Where vices are not, there it is not a place for virtue.","Where vices are not, there neither is it a place for virtue.","Where vices are not, in that place it is not a place for virtue.","Where there are not vices, in that place there is not a place for virtue.","Where there are no vices, there is no place for virtue.","Where vices do not exist, a place for virtue does not exist there. ","Where vices do not exist, a place for virtue does not exist there either.","Where vices do not exist, there a place for virtue does not exist. ",
"vīta nec bonum nec malum est; bonī et malī locus est.","Life is neither a good thing nor a bad thing; it is a place of good and bad.","Life is neither a good thing nor an evil thing; it is a place of good and evil.","Life is neither a good nor an evil; it is a place of good and evil.",,,,,,,,
"morbus, exitium, ignis: nihil hōrum repentīnum est.","Disease, destruction, fire: nothing of these things is sudden.","Disease, destruction, fire: nothing of these is sudden.","Disease, destruction, fire: nothing of them is sudden.","Disease, destruction, fire: none of them is sudden.","Sickness, destruction, fire: nothing of these things is sudden.","Sickness, destruction, fire: nothing of these is sudden.","Sickness, destruction, fire: nothing of them is sudden.","Sickness, destruction, fire: none of them is sudden.",,,
"virtūs sōla, sī adest, vītam efficit beātam.","Only virtue, if present, makes a life blessed.","Only virtue, if present, makes a blessed life.","Only virtue, if it is present, makes a life blessed.","Only virtue, if it is present, makes a blessed life.","Only virtue, if present, makes a life happy.","Only virtue, if present, makes a happy life.","Only virtue, if it is present, makes a life happy.","Only virtue, if it is present, makes a happy life.","Virtue alone, if it is present, makes a life blessed.","Virtue alone, if it is present, makes a life happy.",
"ūnum contrāriōrum nōn potest esse causa alterīus. malum autem est contrārium bonō. ergō bonum nōn potest esse causa malī.","One of opposites is not able to be the cause of the other. Moreover bad is the opposite to good. Therefore good is not able to be the cause of bad.","One of opposites is not able to be the cause of the other. Moreover evil is the opposite to good. Therefore good is not able to be the cause of evil.","One of opposites cannot be the cause of the other. Moreover bad is the opposite to good. Therefore good cannot be the cause of bad.","One of opposites cannot be the cause of the other. Moreover evil is the opposite to good. Therefore good cannot be the cause of evil.","One of opposites is not able to be the cause of the other. Moreover a bad thing is the opposite to a good thing. Therefore a good thing is not able to be the cause of a bad thing.","One of opposites is not able to be the cause of the other. Moreover an evil thing is the opposite to a good thing. Therefore a good thing is not able to be the cause of an evil thing.","One of opposites cannot be the cause of the other. Moreover a bad thing is the opposite to a good thing. Therefore a good thing cannot be the cause of a bad thing.","One of opposites cannot be the cause of the other. Moreover an evil thing is the opposite to a good thing. Therefore a good thing cannot be the cause of an evil thing.","The one of opposites is not able to be the cause of the other. Moreover bad is the opposite to good. Therefore good is not able to be the cause of bad.","The one of opposites is not able to be the cause of the other. Moreover evil is the opposite to good. Therefore good is not able to be the cause of evil.",
"nihil aliud est ēbrietās nisi voluntāria īnsānia.","Drunkenness is nothing other if not voluntary insanity.","Drunkenness is nothing other but voluntary insanity.","Drunkenness is nothing other except voluntary insanity.",,,,,,,,
"sōlus erō quoniam nōn possum esse tuus.","I will be alone since I am not able to be yours.","Since I am not able to be yours I will be alone.","I will be alone since I am unable to be yours.","Since I am unable to be yours I will be alone.","I shall be alone since I am not able to be yours.","I will be alone since I cannot be yours.","I shall be alone since I cannot be yours.","I will be alone because I am not able to be yours.","I shall be alone because I am not able to be yours.","I will be alone because I cannot be yours.",
"nēc vitia nostra nēc remedia tolerāre possumus.","We are able to tolerate neither our vices nor our remedies.","We are able to tolerate neither our vices nor our cures.","We are able to tolerate neither our crimes nor our remedies.","We are able to tolerate neither our crimes nor our cures.","We are able to tolerate neither our vices nor remedies.","We are able to tolerate neither our vices nor cures.","We are able to tolerate neither our crimes nor remedies.","We are able to tolerate neither our crimes nor cures.","We are able to tolerate neither our vices nor their remedies.","We are able to tolerate neither our vices nor their cures.",
"inter dominum et servum nūlla amīcitia est.","No friendship is between master and slave.","There is no friendship between master and slave.","No friendship is between slave and master.","There is no friendship between slave and master.","No friendship is between a master and slave.","There is no friendship between a master and slave.","No friendship exists between master and slave.","No friendship exists between a master and slave.","No friendship is between a master and a slave.","There is no friendship between a master and a slave.",
"nullum magnum ingenium sine mixturā dementiae fuit.","No great talent was without a mixture of insanity.","No great talent was without a mixture of madness.","No great talent was without insanity's mixture.","No great talent was without madness's mixture.","No great talent existed without a mixture of insanity.","No great talent existed without a mixture of madness.",,,,,
"fortūna multīs dat nimium, satis nūllī.","Fortune gives too much to many men, enough to no man.","Fortune gives too much to many people, enough to no person.","Fortune gives too much to many, enough to none.","Fortune gives too much to many men, enough for no man.","Fortune gives too much to many people, enough for no person.","Fortune gives too much to many, enough for none.","Fortune gives too much to many women, enough to no woman.","Fortune gives too much to many women, enough for no woman.","Fortune gives too much to many people, enough to none.","Fortune gives too much to many men, enough to none.",
"fugere nōn potes necessitātēs, potes vincere. erit via. et hanc tibi viam dabit philosophia. ad philosophiam tē necesse est dare, sī cupis salvus esse, sī securus, sī beātus, denique sī cupis esse, quod est maximum, līber.","You are not able to flee necessities, you are able to conquer them. There will be a way. And philosophy will give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You are unable to flee necessities, you are able to conquer them. There will be a way. And philosophy will give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You cannot flee necessities, you can conquer them. There will be a way. And philosophy will give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You are not able to flee necessities, you are able to conquer them. There shall be a way. And philosophy shall give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You cannot flee necessities, you can conquer them. There shall be a way. And philosophy shall give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You are not able to flee necessities, you are able to conquer them. There will be a way. And philosophy will give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, happy, finally if you desire to be, that which is the greatest thing, free.","You are not able to flee necessities, you are able to defeat them. There will be a way. And philosophy will give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You cannot flee necessities, you can defeat them. There will be a way. And philosophy will give this way to you. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You are not able to flee necessities, you are able to conquer them. There will be a way. And philosophy will give you this way. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.","You cannot flee necessities, you can conquer them. There will be a way. And philosophy will give you this way. It is necessary to give yourself to philosophy, if you desire to be safe, secure, blessed, finally if you desire to be, that which is the greatest thing, free.",
"dum ratio nōs ducēbat, valēre poterāmus et magna gerere.","While reason was leading us, we were able to flourish and accomplish great things.","While reason was leading us, we were able to be well and accomplish great things.","While reason was leading us, we were able to fare well and accomplish great things.","While reason was leading us, we were able to flourish and manage great things.","While reason was leading us, we were able to be well and manage great things.","While reason was leading us, we were able to fare well and manage great things.","While reason was leading us, we were able to flourish and conduct great things.","While reason was leading us, we were able to be well and conduct great things.","While reason was leading us, we were able to fare well and conduct great things.","While reason was leading us, we were able to flourish and perform great things.",
"deus mortuōrum sub terrā vīvit, et animī vīvōrum ad eum adībunt.","The god of the dead lives under the earth, and the souls of the living will go to him.","The god of the dead lives beneath the earth, and the souls of the living will go to him.","The god of the dead lives under the soil, and the souls of the living will go to him.","The god of the dead lives beneath the soil, and the souls of the living will go to him.","The god of the dead lives under the country, and the souls of the living will go to him.","The god of the dead lives beneath the country, and the souls of the living will go to him.","The god of the dead lives under the earth, and the souls of the living shall go to him.","The god of the dead lives under the earth, and the souls of the living will go towards him.","The god of the dead lives under the earth, and the souls of the living will approach him.","The god of dead people lives under the earth, and the souls of the living will go to him.",
"ista vitia nullum remedium habent nisi labōrem tempusque. Hodiē ergō labōrāre incipere dēbētis.","Those vices have no remedy except labour and time. Therefore today you must begin to work.","Those faults have no remedy except labour and time. Therefore today you must begin to work.","Those crimes have no remedy except labour and time. Therefore today you must begin to work.","Those vices have no cure except labour and time. Therefore today you must begin to work.","Those faults have no cure except labour and time. Therefore today you must begin to work.","Those crimes have no cure except labour and time. Therefore today you must begin to work.","Those vices have no remedy except work and time. Therefore today you must begin to work.","Those vices have no cure except work and time. Therefore today you must begin to work.","Those faults have no remedy except work and time. Therefore today you must begin to work.","Those faults have no cure except work and time. Therefore today you must begin to work.",
"ōtium multa mala docet puerōs. nam in ōtiō pessima latent vitia.","Leisure teaches boys many evils. For the worst vices lurk in leisure.","Leisure teaches boys many evils. For the worst vices are concealed in leisure.","Leisure teaches boys many evils. For the worst vices hide in leisure.","Leisure teaches boys many evils. For the worst vices lie hid in leisure.","Leisure teaches boys many bad things. For the worst vices lurk in leisure.","Leisure teaches boys many bad things. For the worst vices are concealed in leisure.","Leisure teaches boys many bad things. For the worst vices hide in leisure.","Leisure teaches boys many bad things. For the worst vices lie hid in leisure.","Leisure teaches many evils to boys. For the worst vices lurk in leisure.","Leisure teaches many evils to boys. For the worst vices are concealed in leisure.",
"mīlitēs apud nōs vocāre dēbēmus; vēritātem enim dē causīs hōrum perīculōrum dēmōnstrāre poterunt.","We must call the soldiers among us; for they will be able to demonstrate the truth about the causes of these dangers.","We must summon the soldiers among us; for they will be able to demonstrate the truth about the causes of these dangers.","We must call the soldiers in our presence; for they will be able to demonstrate the truth about the causes of these dangers.","We must call the soldiers near us; for they will be to demonstrate the truth about the causes of these dangers.","We must summon the soldiers in our presence; for they will be able to demonstrate the truth about the causes of these dangers.","We must call the soldiers among us; for they shall be demonstrate the truth about the causes of these dangers.","We must summon the soldiers among us; for they shall be demonstrate the truth about the causes of these dangers.","We must call the soldiers in our presence; for they shall be able to demonstrate the truth about the causes of these dangers.","We must call the soldiers near us; for they shall be able to demonstrate the truth about the causes of these dangers.","We must summon the soldiers in our presence; for they shall be able to demonstrate the truth about the causes of these dangers.",
"frāter noster amōrem vestrī magnum habet. vōbīs igitur laudem multam dabit.","Our brother has a great love of you. Therefore he will give you much praise.","Our brother possesses a great love of you. Therefore he will give you much praise.","Our brother holds a great love of you. Therefore he will give you much praise.","Our brother has a great love of you. Therefore he will give much praise to you.","Our brother possesses a great love of you. Therefore he will give much praise to you.","Our brother holds a great love of you. Therefore he will give much praise to you.","Our brother has a great love of you. Therefore he shall give you much praise.","Our brother possesses a great love of you. Therefore he shall give you much praise.","Our brother holds a great love of you. Therefore he shall give you much praise.","Our brother has a great love for you. Therefore he will give you much praise.",
"māter nostra nōs semper monēbat ac nōbīs hoc cōnsilium dabat: “manēte in locō vestrō!”","Our mother always warned us and gave us this advice: ""remain in your place!""","Our mother was always warning us and gave us this advice: ""remain in your place!""","Our mother was always warning us and was giving us this advice: ""remain in your place!""","Our mother always warned us and gave us this advice: ""stay in your place!""","Our mother was always warning us and gave us this advice: ""stay in your place!""","Our mother was always warning us and was giving us this advice: ""stay in your place!""","Our mother always used to warn us and give us this advice: ""remain in your place!""","Our mother always used to warn us and give us this advice: ""stay in your place!""","Our mother was always warning us and giving us this advice: ""remain in your place!""","Our mother was always warning us and giving us this advice: ""stay in your place!""",
